assemblydistrict,rangel,espaillat,walrond,garcia,leading
36086,88,171,9,2,espaillat
36077,383,214,30,9,rangel
36071,5136,4935,747,76,rangel
36070,6637,2188,1845,77,rangel
36072,2510,7765,198,95,espaillat
36080,573,372,37,29,rangel
36081,868,1088,59,48,espaillat
36078,830,1429,86,50,espaillat
36068,4090,1624,585,81,rangel
36069,1408,900,150,27,rangel
