GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
620L200US36010,36010,"Assembly District 10 (2010), New York",138509,100.0,134965,97.4,110644,79.9,8696,6.3,383,0.3,175,0.1,0,0.0,0,0.0,208,0.2,7399,5.3,25,0.0,7818,5.6,3544,2.6,1301,0.9,1991,1.4,95,0.1,157,0.1,138509,100.0,20743,15.0,1445,1.0,3532,2.6,367,0.3,15399,11.1,117766,85.0,138509,100.0,134965,97.4,19288,13.9,115677,83.5,3544,2.6,1455,1.1,2089,1.5
620L200US36011,36011,"Assembly District 11 (2010), New York",135087,100.0,131013,97.0,85417,63.2,31258,23.1,589,0.4,276,0.2,0,0.0,0,0.0,313,0.2,3177,2.4,33,0.0,10539,7.8,4074,3.0,1689,1.3,2026,1.5,129,0.1,230,0.2,135087,100.0,27616,20.4,807,0.6,4683,3.5,332,0.2,21794,16.1,107471,79.6,135087,100.0,131013,97.0,25661,19.0,105352,78.0,4074,3.0,1955,1.4,2119,1.6
620L200US36012,36012,"Assembly District 12 (2010), New York",126438,100.0,124776,98.7,115674,91.5,3157,2.5,132,0.1,45,0.0,1,0.0,0,0.0,86,0.1,3899,3.1,24,0.0,1890,1.5,1662,1.3,596,0.5,958,0.8,43,0.0,65,0.1,126438,100.0,9624,7.6,425,0.3,3002,2.4,476,0.4,5721,4.5,116814,92.4,126438,100.0,124776,98.7,9038,7.1,115738,91.5,1662,1.3,586,0.5,1076,0.9
620L200US36013,36013,"Assembly District 13 (2010), New York",131694,100.0,128967,97.9,102474,77.8,7753,5.9,260,0.2,104,0.1,0,0.0,0,0.0,156,0.1,12931,9.8,37,0.0,5512,4.2,2727,2.1,1115,0.8,1475,1.1,46,0.0,91,0.1,131694,100.0,15533,11.8,1379,1.0,1939,1.5,362,0.3,11853,9.0,116161,88.2,131694,100.0,128967,97.9,14442,11.0,114525,87.0,2727,2.1,1091,0.8,1636,1.2
620L200US36014,36014,"Assembly District 14 (2010), New York",131344,100.0,128003,97.5,97057,73.9,15380,11.7,267,0.2,113,0.1,3,0.0,0,0.0,151,0.1,7616,5.8,30,0.0,7653,5.8,3341,2.5,1392,1.1,1732,1.3,75,0.1,142,0.1,131344,100.0,20587,15.7,610,0.5,4471,3.4,769,0.6,14737,11.2,110757,84.3,131344,100.0,128003,97.5,19072,14.5,108931,82.9,3341,2.5,1515,1.2,1826,1.4
620L200US36015,36015,"Assembly District 15 (2010), New York",135528,100.0,132224,97.6,98310,72.5,7900,5.8,334,0.2,101,0.1,0,0.0,0,0.0,233,0.2,17229,12.7,19,0.0,8432,6.2,3304,2.4,1571,1.2,1582,1.2,59,0.0,92,0.1,135528,100.0,21434,15.8,2695,2.0,2477,1.8,491,0.4,15771,11.6,114094,84.2,135528,100.0,132224,97.6,20005,14.8,112219,82.8,3304,2.4,1429,1.1,1875,1.4
620L200US36016,36016,"Assembly District 16 (2010), New York",134747,100.0,131377,97.5,102163,75.8,2930,2.2,189,0.1,56,0.0,0,0.0,0,0.0,133,0.1,22713,16.9,17,0.0,3365,2.5,3370,2.5,1123,0.8,2134,1.6,51,0.0,62,0.0,134747,100.0,10717,8.0,728,0.5,1130,0.8,362,0.3,8497,6.3,124030,92.0,134747,100.0,131377,97.5,9865,7.3,121512,90.2,3370,2.5,852,0.6,2518,1.9
620L200US36017,36017,"Assembly District 17 (2010), New York",136600,100.0,133885,98.0,108565,79.5,6611,4.8,229,0.2,77,0.1,2,0.0,0,0.0,150,0.1,13629,10.0,28,0.0,4823,3.5,2715,2.0,1150,0.8,1406,1.0,55,0.0,104,0.1,136600,100.0,14809,10.8,604,0.4,2687,2.0,573,0.4,10945,8.0,121791,89.2,136600,100.0,133885,98.0,13896,10.2,119989,87.8,2715,2.0,913,0.7,1802,1.3
620L200US36018,36018,"Assembly District 18 (2010), New York",130690,100.0,124615,95.4,32739,25.1,64046,49.0,820,0.6,241,0.2,0,0.0,0,0.0,579,0.4,2097,1.6,74,0.1,24839,19.0,6075,4.6,3303,2.5,2264,1.7,175,0.1,333,0.3,130690,100.0,49515,37.9,1355,1.0,3340,2.6,574,0.4,44246,33.9,81175,62.1,130690,100.0,124615,95.4,45559,34.9,79056,60.5,6075,4.6,3956,3.0,2119,1.6
620L200US36019,36019,"Assembly District 19 (2010), New York",128933,100.0,126458,98.1,111070,86.1,6354,4.9,239,0.2,76,0.1,0,0.0,0,0.0,163,0.1,4337,3.4,19,0.0,4439,3.4,2475,1.9,1034,0.8,1282,1.0,66,0.1,93,0.1,128933,100.0,15146,11.7,612,0.5,3309,2.6,695,0.5,10530,8.2,113787,88.3,128933,100.0,126458,98.1,14030,10.9,112428,87.2,2475,1.9,1116,0.9,1359,1.1
