assemblydistrict,white,black,asian,hispanic
36068,30.6,37.4,5.4,47.3
36069,59.3,18.1,9.1,22.9
36070,18.4,55.2,2.6,35.4
36071,34.8,31.1,3.2,48.2
36072,30.2,13.5,1.9,82.2
36077,16.7,43.2,1.3,60.9
36078,29.6,23.7,4.9,66.5
36080,44.5,23.5,7.9,43.1
36081,50.5,21.3,6.9,35.0
36086,20.1,31.1,2.1,71.6
